citation,citation_text,adj,pos_adj,neg_adj
"Teng-Kai Fan, Chia-Hui Chang ,2011","Sentiment analysis find its recent application in Dissatisfaction oriented online advertising Guang Qiu(2010) and Blogger-Centric Contextual Advertising (Teng-Kai Fan, Chia-Hui Chang ,2011), which refers to the assignment of personal ads to any blog page, chosen in according to bloggers interests.","['bloggercentric', 'personal', 'contextual', 'fan', 'tengkai', 'recent', 'online']","(0, [])","(0, [])"
"Weitong Huang, 2008","The rules generated from all the categories separately are combined together to form the classifier (Weitong Huang, 2008).",[],"(0, [])","(0, [])"
"Yi and Niblack, 2005","The sentiment lexicon defines the polarity of terms and sentiment pattern database defines sentiment extraction patterns for a sentence predicates (Yi and Niblack, 2005).",['sentiment'],"(0, [])","(0, [])"
Yulan He (2010),Yulan He (2010) attempted to create a novel framework from unlabeled documents.,"['unlabeled', 'novel']","(0, [])","(0, [])"
Yulan He 2010,"Kennedy and Inkpen ,2006; Zhou and Chaovalit ,2008; Yulan He 2010; Rudy Prabowo ,2009; Rui Xia ,2011).",['inkpen'],"(0, [])","(0, [])"
"Zhou and Chaovalit ,2008","Kennedy and Inkpen ,2006; Zhou and Chaovalit ,2008; Yulan He 2010; Rudy Prabowo ,2009; Rui Xia ,2011).",['inkpen'],"(0, [])","(0, [])"
Zhu Jian (2010),"Zhu Jian (2010) proposed an individual model based on Artificial neural networks to divide the movie review corpus into positive , negative and fuzzy tone which is based on the advanced recursive least squares back propagation training algorithm.","['individual', 'positive', 'jian', 'least', 'fuzzy', 'neural', 'negative', 'advanced', 'artificial', 'recursive']","(2, ['positive', 'advanced'])","(2, ['fuzzy', 'negative'])"
Ziqiong Zhang (2011),Ziqiong Zhang (2011) showed a contradiction in the performance of SVM.,[],"(0, [])","(0, [])"
"Ziqiong, 2011","The Naive Bayes algorithm is widely used algorithm for document classification (Melville et al., 2009; Rui Xia, 2011; Ziqiong, 2011; Songho tan, 2008 2012, IJARCSSE All Rights Reserved Page | 283 Support vector machines (SVM), a discriminative classifier is considered the best text classification method (Rui Xia, 2011; Ziqiong, 2011; Songho tan, 2008 and Rudy Prabowo, 2009).","['discriminative', 'text', 'naive', 'best']","(1, ['best'])","(1, ['naive'])"
advertising Guang Qiu(2010),"Sentiment analysis find its recent application in Dissatisfaction oriented online advertising Guang Qiu(2010) and Blogger-Centric Contextual Advertising (Teng-Kai Fan, Chia-Hui Chang ,2011), which refers to the assignment of personal ads to any blog page, chosen in according to bloggers interests.","['bloggercentric', 'personal', 'contextual', 'fan', 'tengkai', 'recent', 'online']","(0, [])","(0, [])"
an Kunpeng Zhang (2009),"Popescu et al (2005) developed an Kunpeng Zhang (2009), proposed a work which used a keyword matching strategy to identify and tag product features in sentences.",[],"(0, [])","(0, [])"
"and Rudy Prabowo, 2009","Support vector machines (SVM), a discriminative classifier is considered the best text classification method (Rui Xia, 2011; Ziqiong, 2011; Songho tan, 2008 and Rudy Prabowo, 2009).","['discriminative', 'text', 'best']","(1, ['best'])","(0, [])"
"applying and Qiang Ye, 2009","When applying and Qiang Ye, 2009).",['qiang'],"(0, [])","(0, [])"
best Rudy Prabowo (2009),"From the results he concludes that, IG performs the best for sentimental terms selection and SVM exhibits the best Rudy Prabowo (2009) described an extension by combining rule-based classification, supervised learning and machine learning into a new combined method.","['new', 'rulebased', 'that', 'sentimental', 'best']","(1, ['best'])","(0, [])"
by Ting-Chun Peng and Chia-Chun Shih (2010),judge to learning An unsupervised algorithm by extracting the sentiment phrases of each review by rules of part-of-speech (POS) patterns was investigated by Ting-Chun Peng and Chia-Chun Shih (2010).,"['unsupervised', 'tingchun', 'chiachun', 'partofspeech']","(0, [])","(0, [])"
from 2000,"The emergence of sentiment analysis dates back to late 1990 s, but becomes a major emerging sub field of information management discipline only from 2000, especially from 2004 onwards, which this survey focuses.","['sub', 'major']","(0, [])","(0, [])"
from 2004,"The emergence of sentiment analysis dates back to late 1990 s, but becomes a major emerging sub field of information management discipline only from 2000, especially from 2004 onwards, which this survey focuses.","['sub', 'major']","(0, [])","(0, [])"
independence 2012,"Despite its unrealistic independence 2012, IJARCSSE All Rights Reserved Page | 284",['unrealistic'],"(0, [])","(1, ['unrealistic'])"
late 1990,"The emergence of sentiment analysis dates back to late 1990 s, but becomes a major emerging sub field of information management discipline only from 2000, especially from 2004 onwards, which this survey focuses.","['sub', 'major']","(0, [])","(0, [])"
of Yongyong Zhail (2010),"the results of Yongyong Zhail (2010) proposed a approach of Opinion Feature Extraction based on Sentiment Patterns, which takes into account the structure characteristics of reviews for higher values of precision and recall.","['higher', 'yongyong']","(0, [])","(0, [])"
"opinion, Chunxu Wu(2009)","When the review where an opinion lies in, cannot provide enough contextual information to determine the orientation of opinion, Chunxu Wu(2009) proposed an approach which resort to other reviews discussing the same topic to mine useful contextual information, then use semantic similarity measures to judge the orientation of opinion.","['opinion', 'semantic', 'other', 'cannot', 'useful', 'contextual', 'same']","(1, ['useful'])","(0, [])"
"tan, 2008","The Naive Bayes algorithm is widely used algorithm for document classification (Melville et al., 2009; Rui Xia, 2011; Ziqiong, 2011; Songho tan, 2008 2012, IJARCSSE All Rights Reserved Page | 283 Support vector machines (SVM), a discriminative classifier is considered the best text classification method (Rui Xia, 2011; Ziqiong, 2011; Songho tan, 2008 and Rudy Prabowo, 2009). The idea behind the centroid classification algorithm is extremely simple and straightforward (Songho tan, 2008). The similarity score of each nearest neighbor document to the test document is used as the weight of the classes of the neighbor document (Songho tan, 2008). During the training phase, with a collection of training data, this process is repeated several times by iterating on the data (Songho tan, 2008).","['simple', 'nearest', 'centroid', 'discriminative', 'naive', 'best', 'several', 'straightforward', 'text']","(2, ['best', 'straightforward'])","(1, ['naive'])"
using 2012,"Andrea Esuli and Fabrizio Sebastiani (2005) proposed semi-supervised learning method started from expanding an initial seed set using 2012, IJARCSSE All Rights Reserved Page | 285 Negation is a very common linguistic construction that affects polarity and therefore, needs to be taken into consideration in sentiment analysis.","['andrea', 'common', 'initial', 'semisupervised', 'linguistic']","(0, [])","(0, [])"
xu (2010),"Bing xu (2010) , presented a Conditional Random Fields model based Chinese product features identification approach, integrating the chunk features and heuristic position information in addition to the word features, part-of-speech features and context features.","['heuristic', 'conditional', 'chinese', 'partofspeech']","(0, [])","(0, [])"
"Abbasi et al., 2008","In terms of classi cation algorithms, support vector machines (SVMs) are widely used (Abbasi et al., 2008; Abbasi et al., 2008; Argamon et al., 2007; Gamon, 2004; Mishne, 2005; Wilson, Wiebe, & Hwa, 2006) because they seem to perform as well or better than other methods in most machine learning contexts.","['argamon', 'most', 'better', 'other']","(1, ['better'])","(0, [])"
"Abbasi, Chen, & Salem, 2008","An entropy-weighted genetic algorithm can also perform better than standard feature reduction approaches (Abbasi, Chen, & Salem, 2008).","['entropyweighted', 'better', 'genetic', 'standard']","(1, ['better'])","(0, [])"
"Abbasi, Chen, Thoms, & Fu, 2008","Opinion mining algorithms often use machine learning to identify general features associated with positive and negative sentiment, where these features could be a subset of the words in the document, parts of speech or n-grams (i.e., the frequency of occurrence of all n consecutive words, where n is typically 1, 2, or 3; Abbasi, Chen, Thoms, & Fu, 2008; Ng, Dasgupta, & Ari n, 2006; Tang, Tan, & Cheng, 2009).","['positive', 'general', 'abbasi', 'negative', 'ngrams', 'consecutive']","(1, ['positive'])","(1, ['negative'])"
"Argamon et al., 2007","In terms of classi cation algorithms, support vector machines (SVMs) are widely used (Abbasi et al., 2008; Abbasi et al., 2008; Argamon et al., 2007; Gamon, 2004; Mishne, 2005; Wilson, Wiebe, & Hwa, 2006) because they seem to perform as well or better than other methods in most machine learning contexts. This did not perform as well as unigrams, but the combined performance was better than that of unigrams alone (Argamon et al., 2007).","['combined', 'other', 'alone', 'unigrams', 'argamon', 'most', 'better']","(1, ['better'])","(0, [])"
"Artstein & Poesio, 2008","The appropriate type of intercoder reliability statistic for this kind of data with multiple coders and varying differences between categories is Krippendorff s (Artstein & Poesio, 2008; Krippendorff, 2004). In contrast, SentiStrength was able to identify negative sentiment little better (1.8%) than the baseline, probably due to creativity in expressing negative comments or due to the dif culty in getting signi cantly above the baseline when one category dominates (Artstein & Poesio, 2008; Krippendorff, 2004).","['krippendorff', 'multiple', 'appropriate', 'due', 'signi', 'able', 'negative', 'little', 'better']","(2, ['appropriate', 'better'])","(1, ['negative'])"
August 2010,"For instance, programs to monitor sentiment in Received September 25, 2009; revised May 25, 2010; accepted July 6, 2010 2010 ASIS&T Published online 17 August 2010 in Wiley Online Library (wileyonlinelibrary.com).","['instance', 'wiley', 'august', 'received', 'online']","(0, [])","(0, [])"
"Baccianella, Esuli, & Sebastiani, 2010","One is to have a dictionary of positive and negative words (e.g., love, hate), such as that found in General Inquirer (Stone, Dunphy, Smith, & Ogilvie, 1966), WordNet Affect (Strapparava & Valitutti, 2004), SentiWordNet (Baccianella, Esuli, & Sebastiani, 2010; Esuli & Sebastiani, 2006) or Q-WordNet (Agerri & Garc a-Serrano, 2010), and to count how often they occur.","['such', 'love', 'positive', 'general', 'negative', 'aserrano', 'qwordnet']","(2, ['love', 'positive'])","(1, ['negative'])"
"Balahur et al., 2010","Opinion mining typically occurs in two or three stages, although more may be needed for some tasks (e.g., Balahur et al., 2010).","['more', 'balahur']","(0, [])","(0, [])"
"Balahur, Kozareva, & Montoyo, 2009","In addition, basic research to understand the role of emotion in online communication (e.g., Derks, Fischer, & Bos, 2008; e.g., Hancock, Gee, Ciaccio, & Lin, 2008; Nardi, 2005) would also bene t from ne-grained sentiment detection, as would the growing body of psychology and other social science research into the role of sentiment in various types of discussion or general discourse (Balahur, Kozareva, & Montoyo, 2009; Pennebaker, Mehl, & Niederhoffer, 2003; Short & Palmer, 2008).","['addition', 'niederhoffer', 'short', 'general', 'other', 'negrained', 'various', 'nardi', 'social', 'basic', 'palmer', 'online']","(0, [])","(0, [])"
"Baron, 2003","Perhaps most famous is mobile phone text language with its abbreviations, emoticons, and truncated sentences (Grinter & Eldridge, 2003; Thurlow, 2003), but similar styles are evident in many other forms of computer-mediated communication, including chatrooms, bulletin boards, and social network sites (Baron, 2003; Crystal, 2006). Although sometimes seen as poor language use, these are a natural response to the technological affordances and social factors associated with a system (Baron, 2003; Walther & Parks, 2002).","['poor', 'thurlow', 'use', 'famous', 'technological', 'mobile', 'truncated', 'many', 'similar', 'other', 'social', 'evident', 'natural', 'computermediated']","(1, ['famous'])","(1, ['poor'])"
"Barrett, 2006","Emotions are perceived differently by individuals, partly because of their life experiences and partly because of personality issues (Barrett, 2006) and gender (Stoppard & Gunn Gruchy, 1993).",[],"(0, [])","(0, [])"
"Brill, 1992","These variations cause problems because typical linguistic sentiment analysis programs start with part of speech tagging (e.g., Brill, 1992), which is reliant upon standard spelling and grammar, and/or apply rules that assume at least correct spelling, if not correct grammar.","['typical', 'correct', 'standard', 'reliant', 'least', 'linguistic']","(1, ['correct'])","(0, [])"
"Chaumartin, 2007","The best system (for ne-grained evaluation) was one previously designed for newspaper headlines, UPAR7 (Chaumartin, 2007), which used linguistic parsing and tagging as well as WordNet, SentiWordNet, and WordNet Affect, hence relying upon reasonably correct standard grammar and spelling.","['correct', 'upar', 'negrained', 'for', 'best', 'linguistic']","(2, ['correct', 'best'])","(0, [])"
"Choi & Cardie, 2008","For example, phrase analysis techniques could be applied to identify both positive and negative sentiment even within individual sentences (Choi & Cardie, 2008; Wilson, 2008; Wilson, Wiebe, & Hoffman, 2009). An alternative opinion mining technique has used a primarily linguistic approach: simple rules based upon compositional semantics (information about likely meanings of a word based upon the surrounding text) to detect the polarity of an expression (Choi & Cardie, 2008).","['individual', 'alternative', 'simple', 'positive', 'likely', 'example', 'compositional', 'negative', 'linguistic']","(1, ['positive'])","(1, ['negative'])"
"Cohen, 1995","Here, SVM regression was outperformed by both the rule-based learning Ripper (Cohen, 1995) and BoosTexter, a boosting algorithm combining multiple weak classi ers (Schapire & Singer, 2000).","['multiple', 'rulebased', 'weak']","(0, [])","(1, ['weak'])"
"Cornelius, 1996","Detecting Multiple Emotions Psychology of emotion research argues that though positive and negative sentiment are important dimensions, there are many different widely socially recognized types of emotion and the strength of emotions (arousal level) can vary (e.g., Cornelius, 1996; Fox, 2008).","['positive', 'multiple', 'many', 'important', 'different', 'negative']","(2, ['positive', 'important'])","(1, ['negative'])"
"Crystal, 2006","Perhaps most famous is mobile phone text language with its abbreviations, emoticons, and truncated sentences (Grinter & Eldridge, 2003; Thurlow, 2003), but similar styles are evident in many other forms of computer-mediated communication, including chatrooms, bulletin boards, and social network sites (Baron, 2003; Crystal, 2006).","['thurlow', 'famous', 'mobile', 'truncated', 'many', 'similar', 'other', 'social', 'evident', 'computermediated']","(1, ['famous'])","(0, [])"
"Das & Chen, 2001","Modi cations of this approach include the identi cation of negating terms (Das & Chen, 2001), words that enhance sentiment in other words (e.g., really love, absolutely hate) and overall sentence structures (Turney, 2002).","['love', 'modi', 'other', 'identi', 'overall']","(1, ['love'])","(0, [])"
